command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force,total_base_salary,total_regular_hours,total_regular_paid,total_ot_hours,total_ot_paid,total_other_paid,total_total_paid,total_years_on_force
HOUSING BOROUGH BRONX/QUEENS,10,124194.2,2080,123547.5,152.5,8853.5,22536.2,154937.2,20.89626712328767,1241942,20800,1235475,1525,88535,225362,1549372,208.96267123287672
HOUSING BOROUGH BROOKLYN,8,121469.5,2080,125679.75,98.625,5064.75,19868.375,150612.875,17.39768835616438,971756,16640,1005438,789,40518,158947,1204903,139.18150684931504
HOUSING BOROUGH MANHATTAN,7,117247.71428571429,2080,114401.28571428571,173.85714285714286,9046.57142857143,18375.428571428572,141823.2857142857,15.66312785388128,820734,14560,800809,1217,63326,128628,992763,109.64189497716896
HOUSING BUREAU,37,104882.8918918919,2082.2702702702704,104511.75675675676,159.48648648648648,9800.351351351352,15747.594594594595,130059.7027027027,16.34462853264223,3880667,77044,3866935,5901,362613,582661,4812209,604.7512557077625
HOUSING INVESTIGATIONS UNIT,12,110676.33333333333,2080,109301.75,378.0833333333333,19482.583333333332,19703.333333333332,148487.66666666666,17.1765696347032,1328116,24960,1311621,4537,233791,236440,1781852,206.1188356164384
HOUSING PSA 1,205,74461.3756097561,2025.4146341463415,72161.8243902439,242.21951219512195,8471.829268292682,13427.180487804879,94060.83414634147,8.414564539481027,15264582,415210,14793174,49655,1736725,2752572,19282471,1724.9857305936105
HOUSING PSA 2,264,75303.54924242424,2001.375,71900.49621212122,226.71212121212122,8194.901515151516,13093.337121212122,93188.73484848485,8.223653486924052,19880137,528363,18981731,59852,2163454,3456641,24601826,2171.0445205479496
HOUSING PSA 3,259,73975.30501930501,2044.6023166023167,71044.28185328185,211.13513513513513,7045.347490347491,13483.447876447877,91573.07722007722,8.616928474462732,19159604,529552,18400469,54684,1824745,3492213,23717427,2231.7844748858474
HOUSING PSA 4,152,78695.77631578948,2059.6644736842104,76783.52631578948,127.32894736842105,4900.651315789473,14812.730263157895,96496.90789473684,9.802127643595304,11961758,313069,11671096,19354,744899,2251535,14667530,1489.9234018264863
HOUSING PSA 5,212,70745.6179245283,1984.122641509434,67101.40566037736,226.51415094339623,7571.311320754717,12420.349056603774,87093.06603773584,8.003244809166898,14998071,420634,14225498,48021,1605118,2633114,18463730,1696.6878995433822
HOUSING PSA 6,139,77993.79856115108,2056.863309352518,75383.03597122303,213.64028776978418,7763.755395683454,14217.755395683453,97364.54676258993,10.584217009953694,10841138,285904,10478242,29696,1079162,1976268,13533672,1471.2061643835634
HOUSING PSA 7,229,72075.59825327511,2028.8384279475983,69447.60698689957,267.24454148471614,8891.794759825327,12990.781659388645,91330.18340611353,7.854791529580673,16505312,464604,15903502,61199,2036221,2974889,20914612,1798.7472602739742
HOUSING PSA 8,184,78284.07608695653,2022.2065217391305,75359.23913043478,232.06521739130434,8819.815217391304,14115.347826086956,98294.40217391304,9.526182499503681,14404270,372086,13866100,42700,1622846,2597224,18086170,1752.8175799086775
HOUSING PSA 9,198,78208.11111111111,2030.7525252525252,75642.90909090909,191.26262626262627,7656.580808080808,14450.085858585859,97749.57575757576,9.53139096443893,15485206,402089,14977296,37870,1516003,2861117,19354416,1887.2154109589083
HUMAN RESOURCES DIVISION,16,97444.1875,1965,90221.8125,160.125,9783.875,15912.75,115918.4375,15.163962614155253,1559107,31440,1443549,2562,156542,254604,1854695,242.62340182648404
HUMAN TRAFFICKING UNIT,9,107306.77777777778,2080,105374.77777777778,456.44444444444446,26579.333333333332,17423.333333333332,149377.44444444444,16.3410197869102,965761,18720,948373,4108,239214,156810,1344397,147.0691780821918
HWY DIST COLLISION TECH GROUP,16,91439.1875,2081.0625,91938.5,336.1875,14375.375,18825.3125,125139.1875,12.353660102739727,1463027,33297,1471016,5379,230006,301205,2002227,197.65856164383564
HWY DST COLLISION INV SQD,30,99075.73333333334,2080,98512.2,369.56666666666666,19868.1,18916.666666666668,137296.96666666667,18.095593607305933,2972272,62400,2955366,11087,596043,567500,4118909,542.867808219178
IAB ADMINISTRATION,1,189879,2080,179819,0,0,23322,203141,27.10970319634703,189879,2080,179819,0,0,23322,203141,27.10970319634703
IAB COMMAND CENTER,1,138620,2080,136673,136,9304,25005,170982,15.402853881278538,138620,2080,136673,136,9304,25005,170982,15.402853881278538
IAB CRIMINAL INVESTIGATIONS,1,180327,2080,179819,0,0,19216,199035,35.915068493150685,180327,2080,179819,0,0,19216,199035,35.915068493150685
IAB GROUP 1,1,180327,2080,179819,0,0,20493,200312,31.148059360730592,180327,2080,179819,0,0,20493,200312,31.148059360730592
IAB GROUP 10,1,171310,2080,170827,0,0,23101,193928,17.427511415525114,171310,2080,170827,0,0,23101,193928,17.427511415525114
IAB GROUP 12,1,171310,2080,170827,0,0,25391,196218,23.265867579908676,171310,2080,170827,0,0,25391,196218,23.265867579908676
IAB GROUP 21,1,180327,2080,179819,0,0,30358,210177,34.367237442922374,180327,2080,179819,0,0,30358,210177,34.367237442922374
IAB GROUP 22,1,138620,2080,136681,119,8274,23741,168696,17.873972602739727,138620,2080,136681,119,8274,23741,168696,17.873972602739727
IAB GROUP 26,1,141422,2080,138452,159,11180,25764,175396,17.873972602739727,141422,2080,138452,159,11180,25764,175396,17.873972602739727
IAB GROUP 27,1,180327,2080,179819,0,0,26839,206658,27.77260273972603,180327,2080,179819,0,0,26839,206658,27.77260273972603
IAB GROUP 31,1,171310,2080,170827,0,0,23146,193973,16.400114155251142,171310,2080,170827,0,0,23146,193973,16.400114155251142
IAB GROUP 32,1,141422,2080,138452,0,0,20269,158721,17.873972602739727,141422,2080,138452,0,0,20269,158721,17.873972602739727
IAB GROUP 33,1,180327,2080,179819,0,0,24378,204197,28.27134703196347,180327,2080,179819,0,0,24378,204197,28.27134703196347
IAB GROUP 34,1,171310,2080,170827,0,0,24035,194862,16.400114155251142,171310,2080,170827,0,0,24035,194862,16.400114155251142
IAB GROUP 41,1,141422,2080,140159,67,4703,19904,164766,13.405593607305937,141422,2080,140159,67,4703,19904,164766,13.405593607305937
IAB GROUP 42,1,141422,2080,140159,8,607,18781,159547,19.37271689497717,141422,2080,140159,8,607,18781,159547,19.37271689497717
IAB GROUP 52,1,180327,2080,179819,0,0,29398,209217,21.183675799086757,180327,2080,179819,0,0,29398,209217,21.183675799086757
IAB GROUP 53,1,171310,2080,170827,0,0,24018,194845,30.36997716894977,171310,2080,170827,0,0,24018,194845,30.36997716894977
IAB GROUP 54,2,159473.5,2080,158250,61.5,4198,23702,186150,18.63978310502283,318947,4160,316500,123,8396,47404,372300,37.27956621004566
IAB GROUP 56,1,141422,2080,138022,116,8169,23881,170072,23.265867579908676,141422,2080,138022,116,8169,23881,170072,23.265867579908676
IAB GROUP 9,1,180327,2080,179819,0,0,34663,214482,30.608333333333334,180327,2080,179819,0,0,34663,214482,30.608333333333334
IAB RESOURCES,1,180327,2080,179819,0,0,25784,205603,25.386415525114156,180327,2080,179819,0,0,25784,205603,25.386415525114156
IAB SPECIAL OPERATIONS,1,189879,2080,189344,114,4190,27053,220587,37.93150684931507,189879,2080,189344,114,4190,27053,220587,37.93150684931507
IAB ZONE 1,2,180327,2080,179819,33.5,1131.5,25629.5,206580,26.457648401826482,360654,4160,359638,67,2263,51259,413160,52.915296803652964
IAB ZONE 2,2,185103,2080,181049,33.5,1131.5,26689,208869.5,29.194577625570776,370206,4160,362098,67,2263,53378,417739,58.38915525114155
IAB ZONE 3,3,186695,2080,186169,0,0,24506,210675,29.45578386605784,560085,6240,558507,0,0,73518,632025,88.36735159817351
IDENTIFICATION SECTION,2,85292,1185.5,48481,90,3818.5,12017,64316.5,12.389155251141553,170584,2371,96962,180,7637,24034,128633,24.778310502283105
IDENTITY THEFT SQUAD,4,97324,2092.25,97680.5,439,28828.5,15352.25,141861.25,17.407648401826485,389296,8369,390722,1756,115314,61409,567445,69.63059360730594
INFO TECHNOLOGY SERVICES DIV,35,104091.8,2084.5714285714284,101962.2,326.3142857142857,21777.371428571427,16834.14285714286,140573.7142857143,16.867928897586435,3643213,72960,3568677,11421,762208,589195,4920080,590.3775114155252
INFORMATION TECHNOLOGY BUREAU,14,128893.14285714286,2080,127817.57142857143,208.14285714285714,15024.57142857143,17473.928571428572,160316.07142857142,20.09557240704501,1804504,29120,1789446,2914,210344,244635,2244425,281.33801369863016
INSP GENERAL COORD UNIT,3,105848,2080,103505,210.66666666666666,13854,16397.666666666668,133756.66666666666,12.069520547945205,317544,6240,310515,632,41562,49193,401270,36.208561643835615
INTEL CIS FIO PROGRAM,340,96351.84705882354,2080.9823529411765,91525.53529411765,540.6235294117647,24955.570588235296,17830.070588235296,134311.17647058822,12.69719245232342,32759628,707534,31118682,183812,8484894,6062224,45665800,4317.045433789963
INTELLIGENCE BUREAU,56,101725.98214285714,2082.9285714285716,100567.875,173.375,11386.5,16293.964285714286,128248.33928571429,15.388331702544034,5696655,116644,5631801,9709,637644,912462,7181907,861.7465753424659
INTELLIGENCE BUREAU INVESTIGATIONS UNIT,8,118070.625,2080,117540.25,290.375,17824.5,19038.625,154403.375,20.79527682648402,944565,16640,940322,2323,142596,152309,1235227,166.36221461187216
INTERNAL AFFAIRS BUREAU,355,110659.69577464789,2073.676056338028,110203.85070422535,207.18873239436618,12536.115492957746,17803.36056338028,140543.3267605634,15.385729307350948,39284192,736155,39122367,73552,4450321,6320193,49892881,5461.933904109586
INVESTIGATION & EVALUATION SECT,11,115394.63636363637,2080,113452.45454545454,195.54545454545453,11984,19460.909090909092,144897.36363636365,19.615265670402653,1269341,22880,1247977,2151,131824,214070,1593871,215.7679223744292
INVESTIGATIVE SUPPORT SECTION,4,113113.75,2090.5,113209.75,207.75,18368.75,17207.5,148786,21.52542808219178,452455,8362,452839,831,73475,68830,595144,86.10171232876712
IT PROGRAM MANAGEMENT,1,109360,2080,147017,396,34516,15567,197100,15.402853881278538,109360,2080,147017,396,34516,15567,197100,15.402853881278538
ITB ADMINISTRATIVE DIVISION,9,96220.33333333333,2080,95789,306.8888888888889,21670,15185.666666666666,132644.66666666666,14.101154236428208,865983,18720,862101,2762,195030,136671,1193802,126.91038812785388
ITB INVESTIGATIONS UNIT,4,103964.75,2080,103612,280.25,17165.5,17933,138710.5,20.299400684931506,415859,8320,414448,1121,68662,71732,554842,81.19760273972602
JOINT BANK ROB T/F,5,118128.6,2088.4,116219.8,432.6,35409.4,17357.4,168986.6,20.749109589041097,590643,10442,581099,2163,177047,86787,844933,103.74554794520549
JOINT TERRORIST TASK FORCE,108,110013.18518518518,2073.8703703703704,109095.68518518518,439.23148148148147,30377.722222222223,18013.25,157486.65740740742,21.927329612717767,11881424,223978,11782334,47437,3280794,1945431,17008559,2368.151598173519
JUVENILE CRIME SECTION,9,100367.22222222222,2080,100066.33333333333,185.77777777777777,12467.888888888889,16266.888888888889,128801.11111111111,15.249365804160325,903305,18720,900597,1672,112211,146402,1159210,137.24429223744292
LAB EVIDENCE CTRL & SECURITY,53,87081.05660377358,2016.377358490566,84530.92452830188,218.0943396226415,10931.849056603774,17505.735849056604,112968.50943396226,14.029167743603002,4615296,106868,4480139,11559,579388,927804,5987331,743.5458904109591
LATENT PRINT SECTION,42,94301.73809523809,2082,93145.66666666667,359.7142857142857,19491.5,16535.5,129172.66666666667,14.76009458577951,3960673,87444,3912118,15108,818643,694491,5425252,619.9239726027395
LB BODY WORN CAMERA LEGAL UNIT,9,96220.33333333333,2080,91988.55555555556,143.33333333333334,8985.888888888889,16942.88888888889,117917.33333333333,13.86765601217656,865983,18720,827897,1290,80873,152486,1061256,124.80890410958904
LEADERSHIP TRAINING SECTION,8,120512.625,2080,119347.5,72.5,4642.625,18910.875,142901,18.886386986301368,964101,16640,954780,580,37141,151287,1143208,151.09109589041094
LEAVE INTEGRITY MGT. SECTION,2,97326,2080,97051.5,313,20229,13253.5,130534,11.90148401826484,194652,4160,194103,626,40458,26507,261068,23.80296803652968
LEGAL BUREAU,53,100103.35849056604,2081.5471698113206,96831.77358490566,337.1509433962264,21626.584905660377,14607.849056603774,133066.20754716982,14.448677522184893,5305478,110322,5132084,17869,1146209,774216,7052509,765.7799086757993
LICENSE DIVISION,44,98078.97727272728,2079.090909090909,97573.31818181818,279.47727272727275,18697.136363636364,15686.886363636364,131957.3409090909,16.25438200498132,4315475,91480,4293226,12297,822674,690223,5806123,715.192808219178
LIFE-SAFETY SYSTEMS DIVISION,2,153410.5,2080,152259,77,7584.5,18082.5,177926,18.42888127853881,306821,4160,304518,154,15169,36165,355852,36.85776255707762
LMSI PROJECT MANAGEMENT OFFICE,5,98619.6,2080,97899,384.2,25638.6,16208.6,139746.2,13.808333333333334,493098,10400,489495,1921,128193,81043,698731,69.04166666666667
LOWER MANHATTAN SECURITY INITIATIVE,29,101140.31034482758,2071.2413793103447,98599.62068965517,382.41379310344826,19441.241379310344,19415.896551724138,137456.75862068965,17.69692174460715,2933069,60066,2859389,11090,563796,563061,3986246,513.2107305936073
LSSD ELECTRONICS SECTION,25,99738.96,2080,99035.64,411.88,23132.28,19940.2,142108.12,19.204995433789954,2493474,52000,2475891,10297,578307,498505,3552703,480.12488584474886
LSSD PUBLIC SAFETY BB & RADIO SECT,2,91308,2080,91050.5,381.5,24386,16005.5,131442,19.698687214611873,182616,4160,182101,763,48772,32011,262884,39.397374429223746
MAJOR CASE SQUAD,21,108253.14285714286,2081.9523809523807,109193.09523809524,452.04761904761904,31114.380952380954,16605.904761904763,156913.38095238095,18.798130028267007,2273316,43721,2293055,9493,653402,348724,3295181,394.76073059360715
MAN COURT SECTION,123,90504.56097560975,2041.739837398374,88533.40650406505,207.3821138211382,10182.50406504065,16910.90243902439,115626.81300813008,13.612392805434915,11132061,251134,10889609,25508,1252448,2080041,14222098,1674.3243150684946
MANAGEMENT ANALYSIS SECTION,20,114079.1,2038.85,111973.1,145.3,10451.6,16240.55,138665.25,14.689121004566209,2281582,40777,2239462,2906,209032,324811,2773305,293.7824200913242
MANH ROBBERY SQUAD,13,95429.76923076923,2080,91640.84615384616,453.38461538461536,23762.30769230769,16199,131602.15384615384,13.871092377941693,1240587,27040,1191331,5894,308910,210587,1710828,180.324200913242
MANHATTAN CHILD ABUSE SQUAD,16,99809.4375,2082.625,98341.3125,452.5625,24979.8125,17854.5625,141175.6875,15.140653538812783,1596951,33322,1573461,7241,399677,285673,2258811,242.25045662100453
MANHATTAN NORTH GRAND LARCENY SQD,9,91743,2086.8888888888887,90660.77777777778,415.22222222222223,22001.222222222223,16758.11111111111,129420.11111111111,15.771803652968039,825687,18782,815947,3737,198011,150823,1164781,141.94623287671234
MANHATTAN NORTH OPER NIGHT WATCH,6,99698.66666666667,2087,99585,698.5,31572.333333333332,21510.666666666668,152668,20.41196727549467,598192,12522,597510,4191,189434,129064,916008,122.47180365296802
MANHATTAN NORTH VICE MODULE,6,105591,2080,103978.5,433.8333333333333,20687,21227.333333333332,145892.83333333334,17.24710806697108,633546,12480,623871,2603,124122,127364,875357,103.48264840182648
MANHATTAN SOUTH GRAND LARCENY SQD,15,98302.4,2080,99843.73333333334,399.8666666666667,21472.2,16514.8,137830.73333333334,16.078409436834093,1474536,31200,1497656,5998,322083,247722,2067461,241.1761415525114
MANHATTAN SOUTH OPER NIGHT WATCH,6,99330,2080,99050.33333333333,463.1666666666667,25021.833333333332,20111.5,144183.66666666666,20.017922374429226,595980,12480,594302,2779,150131,120669,865102,120.10753424657536
MANHATTAN SOUTH VICE MODULE,2,97013.5,2080,96643.5,467,20487,15203,132333.5,12.906963470319635,194027,4160,193287,934,40974,30406,264667,25.81392694063927
MANHATTAN SPECIAL VICTIMS SQUAD,31,95179.90322580645,2080,93184.16129032258,490.61290322580646,25425.225806451614,15933.516129032258,134542.90322580645,13.163216232140224,2950577,64480,2888709,15209,788182,493939,4170830,408.05970319634696
MANHATTAN TRANSIT ROBBERY SQD,19,86393.15789473684,2082.2105263157896,87239.42105263157,426.7894736842105,20617.842105263157,15602.842105263158,123460.1052631579,10.056458783946166,1641470,39562,1657549,8109,391739,296454,2345742,191.07271689497716
MANHATTAN WARRANT SQD,6,98929.66666666667,2080,98319.66666666667,158,6124,18251.666666666668,122695.33333333333,13.870433789954335,593578,12480,589918,948,36744,109510,736172,83.22260273972601
MEDICAL DIVISION,161,84519.90683229813,2063.6894409937886,83213.03105590062,279.98136645962734,14257.223602484471,13898.453416149068,111368.70807453417,11.613364672849496,13607705,332254,13397298,45077,2295413,2237651,17930362,1869.751712328769
MGMT ORDERS & DIRECTIVES SECTION,11,110254.72727272728,2080,111724,123.72727272727273,9872,16490.909090909092,138086.9090909091,16.42601701951017,1212802,22880,1228964,1361,108592,181400,1518956,180.68618721461186
MILITARY & EXTENDED LEAVE DESK,383,76192.63707571801,1828.4516971279375,51727.4908616188,67.35509138381201,2744.8616187989555,11654.78590078329,66127.13838120105,9.347003350143668,29181780,700297,19811629,25797,1051282,4463783,25326694,3579.9022831050247
MISSING PERSONS SQUAD,32,101952,2077.5,100760.4375,458.03125,26610.3125,21636.59375,149007.34375,19.765400256849315,3262464,66480,3224334,14657,851530,692371,4768235,632.4928082191781
MN ANTI-CRIME UNIT,1,85292,2080,85051,354,13419,18753,117223,8.400114155251142,85292,2080,85051,354,13419,18753,117223,8.400114155251142
MN AUTO LARCENY UNIT,2,97326,2080,97051.5,447.5,18928,21151,137130.5,13.405593607305937,194652,4160,194103,895,37856,42302,274261,26.811187214611873
MN CRIME ANALYSIS UNIT,18,97542.55555555556,2080,101542.88888888889,150.44444444444446,10611.055555555555,15375.833333333334,127529.77777777778,16.13659944190766,1755766,37440,1827772,2708,190999,276765,2295536,290.4587899543379
MN EVIDENCE COLLECTION TEAM,19,90468.57894736843,2082.0526315789475,88704.15789473684,229.8421052631579,10119.736842105263,19281.57894736842,118105.47368421052,15.967796202835856,1718903,39559,1685379,4367,192275,366350,2244004,303.38812785388126
MOUNTED UNIT,54,94341.24074074074,2082.259259259259,93774.57407407407,62.27777777777778,2977.4814814814813,18467.09259259259,115219.14814814815,17.105957212920682,5094427,112442,5063827,3363,160784,997223,6221834,923.7216894977167
MOVIE & TV UNIT,19,94432.42105263157,2079.0526315789475,91637.84210526316,390.6842105263158,21632.78947368421,18205.105263157893,131475.73684210525,16.74818553232396,1794216,39502,1741119,7423,411023,345897,2498039,318.21552511415524
MS BLARE TEAM,9,87966.22222222222,2080,87717.77777777778,307.1111111111111,13799,19258.222222222223,120775,13.517567224759006,791696,18720,789460,2764,124191,173324,1086975,121.65810502283105
MS CRIME ANALYSIS UNIT,15,98648,2080,104299.8,250.4,15616.266666666666,17512.466666666667,137428.53333333333,17.064710806697104,1479720,31200,1564497,3756,234244,262687,2061428,255.97066210045654
MS EVIDENCE COLLECTION TEAM,17,88123.5294117647,2036.9411764705883,84651.29411764706,274.8235294117647,12119.35294117647,18621.235294117647,115391.88235294117,14.574791834542035,1498100,34628,1439072,4672,206029,316561,1961662,247.77146118721458
MTN DET SQUAD,27,101149.4074074074,2084.3703703703704,100375.44444444444,482.18518518518516,24945.88888888889,16835.333333333332,142156.66666666666,14.555111618467786,2731034,56278,2710137,13019,673539,454554,3838230,392.9880136986302
MTS DET SQUAD,23,95443.47826086957,2072.4347826086955,92842.95652173914,518.3913043478261,27590.478260869564,15932.347826086956,136365.78260869565,13.673188405797102,2195200,47666,2135388,11923,634581,366444,3136413,314.48333333333335
MUNICIPAL SECURITY SECTION,1,189879,2080,189344,202,7135,29455,225934,29.438470319634703,189879,2080,189344,202,7135,29455,225934,29.438470319634703
NARC BORO BRONX,113,97319.02654867257,2081.1150442477874,97036.16814159292,503.5221238938053,25627.982300884956,16854.690265486726,139518.8407079646,14.87053885319433,10997050,235166,10965087,56898,2895962,1904580,15765629,1680.3708904109592
NARC BORO BRONX MAJOR CASE UNIT,36,102611.11111111111,2079.972222222222,100667.30555555556,556.1944444444445,29417.166666666668,17096.61111111111,147181.08333333334,16.164545281582956,3694000,74879,3624023,20023,1059018,615478,5298519,581.9236301369864
NARC BORO BRONX ZONE 8,1,171310,2080,170827,0,0,31490,202317,16.400114155251142,171310,2080,170827,0,0,31490,202317,16.400114155251142
NARC BORO BROOKLYN NORTH,56,100050.35714285714,2079.9821428571427,99993.46428571429,492.375,22959.696428571428,17595.73214285714,140548.89285714287,15.603787508153951,5602820,116479,5599634,27573,1285743,985361,7870738,873.8121004566212
NARC BORO BROOKLYN NORTH MAJOR CASE UNIT,27,105881.74074074074,2084.6296296296296,104367.5925925926,740.4074074074074,34681.62962962963,18181.777777777777,157231,16.21032048029765,2858807,56285,2817925,19991,936404,490908,4245237,437.67865296803654
NARC BORO BROOKLYN NORTH NITRO,1,97324,2080,97050,556,29046,20151,146247,23.265867579908676,97324,2080,97050,556,29046,20151,146247,23.265867579908676
NARC BORO BROOKLYN NORTH ZONE 15,1,141422,2080,140159,118,8310,22415,170884,14.863013698630137,141422,2080,140159,118,8310,22415,170884,14.863013698630137
NARC BORO BROOKLYN SOUTH,47,99602.23404255319,2080,98559.55319148937,491.17021276595744,24659.23404255319,16131.127659574468,139349.914893617,14.557811133780238,4681305,97760,4632299,23085,1158984,758163,6549446,684.2171232876711
NARC BORO BROOKLYN SOUTH MAJOR CASE UNIT,20,97075.35,2080,95606.55,511.45,27048.75,14858.45,137513.75,12.65308789954338,1941507,41600,1912131,10229,540975,297169,2750275,253.0617579908676
NARC BORO MANHATTAN NORTH,67,100122.35820895522,2080,99015.65671641791,577.9402985074627,27068.716417910447,16363.41791044776,142447.79104477612,14.204619028146942,6708198,139360,6634049,38722,1813604,1096349,9544002,951.7094748858451
NARC BORO MANHATTAN NORTH MAJOR CASE UNIT,22,104356.72727272728,2071.909090909091,102784.77272727272,649.9545454545455,32357.81818181818,18336.272727272728,153478.86363636365,16.2820101701951,2295848,45582,2261265,14299,711872,403398,3376535,358.2042237442922
NARC BORO MANHATTAN SOUTH,38,100793.94736842105,2081.1052631578946,100633.86842105263,435.8157894736842,22509.07894736842,16083.973684210527,139226.92105263157,13.584793318913722,3830170,79082,3824087,16561,855345,611191,5290623,516.2221461187214
NARC BORO MANHATTAN SOUTH MAJOR CASE UNIT,11,112435.63636363637,2080,111043.36363636363,397.1818181818182,19962.636363636364,18898.81818181818,149904.81818181818,16.322405562474056,1236792,22880,1221477,4369,219589,207887,1648953,179.54646118721462
NARC BORO QUEENS NORTH,37,102537.32432432432,2080,102808,516.0540540540541,25079,17968.405405405407,145855.4054054054,15.189192274466244,3793881,76960,3803896,19094,927923,664831,5396650,562.000114155251
NARC BORO QUEENS NORTH MAJOR CASE UNIT,22,99048.5,2080,98117.36363636363,500.8636363636364,24975.409090909092,17798.227272727272,140891,16.361591946865918,2179067,45760,2158582,11019,549459,391561,3099602,359.9550228310502
NARC BORO QUEENS SOUTH,41,96467.09756097561,2081.0243902439024,95521.80487804877,579.560975609756,25191.560975609755,17639.414634146342,138352.78048780488,13.313740394253257,3955151,85322,3916394,23762,1032854,723216,5672464,545.8633561643835
NARC BORO QUEENS SOUTH MAJOR CASE UNIT,20,105233.95,2080,104155.05,686.8,32988.55,18276.55,155420.15,16.307899543378994,2104679,41600,2083101,13736,659771,365531,3108403,326.1579908675799
NARC BORO QUEENS SOUTH ZONE 17,1,171310,2080,170827,0,0,20195,191022,21.183675799086757,171310,2080,170827,0,0,20195,191022,21.183675799086757
NARC BORO QUEENS SOUTH ZONE 24,1,171310,2080,170827,0,0,22447,193274,27.77260273972603,171310,2080,170827,0,0,22447,193274,27.77260273972603
NARC BORO STATEN ISLAND,31,96257.25806451614,2080,96949.6129032258,376.19354838709677,18627.16129032258,16250.741935483871,131827.51612903227,13.523272941523052,2983975,64480,3005438,11662,577442,503773,4086653,419.22146118721463
NARC BORO STATEN ISLAND MAJOR CASE UNIT,19,102692.8947368421,2080,101017.94736842105,552.9473684210526,30640.21052631579,16135.368421052632,147793.52631578947,15.36878154289834,1951165,39520,1919341,10506,582164,306572,2808077,292.00684931506845
NARCOTICS CANINE UNIT,5,115721.4,2080,115079,681.8,39040.8,18255,172374.8,21.87730593607306,578607,10400,575395,3409,195204,91275,861874,109.3865296803653
NYPD/FBI CHILD EXPL & HTTF,8,117512.75,2080,116048.875,620.75,39283.375,20204.625,175536.875,21.787414383561647,940102,16640,928391,4966,314267,161637,1404295,174.29931506849317
NYPD/FBI FINANCIAL CRIMES TF,9,111909.22222222222,2084.6666666666665,112075.88888888889,489.6666666666667,35051,16607.666666666668,163734.55555555556,19.093848300355152,1007183,18762,1008683,4407,315459,149469,1473611,171.84463470319636
OCME LIAISON UNIT,3,110738.33333333333,2080,110426.33333333333,415.3333333333333,30228.333333333332,18775.666666666668,159430.33333333334,27.86856925418569,332215,6240,331279,1246,90685,56327,478291,83.60570776255707
OFFICE OF MGMT ANALYSIS & PLANNING,7,141724.85714285713,2080,149128.42857142858,36.285714285714285,3554.1428571428573,17345.14285714286,170027.7142857143,16.956245923026746,992074,14560,1043899,254,24879,121416,1190194,118.69372146118722
OFFICE OF PATROL SERVICES BUREAU,2,185103,2080,184581.5,0,0,23778.5,208360,29.256221461187216,370206,4160,369163,0,0,47557,416720,58.51244292237443
OFFICE OF PROFESSIONAL DEVELOPMENT,9,114247.33333333333,2080,112225.66666666667,95.77777777777777,5740.666666666667,17693,135659.33333333334,17.032978183663115,1028226,18720,1010031,862,51666,159237,1220934,153.29680365296804
OFFICE OF THE CHIEF CRIME CONTROL STRATEGIES,6,139853.66666666666,2080,144324,180.5,15102.833333333334,19594.666666666668,179021.5,16.176331811263317,839122,12480,865944,1083,90617,117568,1074129,97.0579908675799
OFFICE OF THE CHIEF OF DETECTIVES,1,189879,2080,189344,0,0,25839,215183,22.416552511415524,189879,2080,189344,0,0,25839,215183,22.416552511415524
OFFICE OF THE CHIEF OF PERSONNEL,1,189879,2080,189344,0,0,23733,213077,28.884931506849316,189879,2080,189344,0,0,23733,213077,28.884931506849316
OFFICE OF THE CHIEF OF TRAINING,1,189879,2080,182279,135,4527,25963,212769,24.6439497716895,189879,2080,182279,135,4527,25963,212769,24.6439497716895
OFFICE OF THE CHIEF OF TRANSIT,1,189879,2080,189344,202,7135,26796,223275,23.43299086757991,189879,2080,189344,202,7135,26796,223275,23.43299086757991
OFFICE OF THE CHIEF OF TRANSPORTATION,1,189879,2080,189344,0,0,22003,211347,25.386415525114156,189879,2080,189344,0,0,22003,211347,25.386415525114156
OFFICE OF THE DEP COMM EQUITY & INCLUSION,12,81166.33333333333,1960.3333333333333,78792.33333333333,74.16666666666667,2729.5,13336.083333333334,94857.91666666667,8.998934550989345,973996,23524,945508,890,32754,160033,1138295,107.98721461187215
OFFICE OF THE DEP COMM STRATEGIC INITIATIVES,3,125730.33333333333,2080,124640.66666666667,55.333333333333336,3797.3333333333335,18846.666666666668,147284.66666666666,19.08230593607306,377191,6240,373922,166,11392,56540,441854,57.24691780821918
OFFICE OF THE DEP COMM TRIALS,1,138620,2080,136673,10,834,17365,154872,14.863013698630137,138620,2080,136673,10,834,17365,154872,14.863013698630137
OFFICE OF THE OPERATIONS BUREAU,1,189879,2080,189344,238,8415,28335,226094,32.42751141552512,189879,2080,189344,238,8415,28335,226094,32.42751141552512
OFFICE OF THE RISK MANAGEMENT BUREAU,2,185103,2080,184581.5,0,0,24052,208633.5,26.828881278538812,370206,4160,369163,0,0,48104,417267,53.657762557077625
OFFICE SUPV CHIEF SURGEON,14,80451.28571428571,2080,79769.85714285714,127.78571428571429,6241.5,12957.857142857143,98969.21428571429,11.093419765166342,1126318,29120,1116778,1789,87381,181410,1385569,155.30787671232878
